horizon_seconds,experiment,family,target_mode,feature_group,params_json,n_features,n_train_rows,n_fit_rows,n_test_rows,elapsed_seconds,rmse,mae,r2,baseline_mean_rmse,rmse_vs_baseline_improvement,directional_accuracy,pred_actual_delta_corr,best_threshold_by_realized_pnl,best_coverage_by_realized_pnl,best_hit_rate_by_realized_pnl,best_avg_realized_pnl,best_total_realized_pnl,best_yes_trade_count,best_no_trade_count,coverage_thr_0p0,avg_realized_pnl_thr_0p0,total_realized_pnl_thr_0p0,coverage_thr_0p05,avg_realized_pnl_thr_0p05,total_realized_pnl_thr_0p05,coverage_thr_0p1,avg_realized_pnl_thr_0p1,total_realized_pnl_thr_0p1
60,ridge_delta_all_alpha_10,ridge,delta,all,"{""alpha"": 10.0}",56,690027,690027,173109,1.213,0.12034054180767112,0.07958112408980954,0.8707142373253378,0.3346852798500043,0.6404367056071183,0.6497894065852888,0.4138332805393369,0.1,0.043377294074831464,0.8056998268744173,0.13175829005193768,989.3729999999999,3319,4190,1.0,0.029202629557099857,5055.237999999999,0.215211225297356,0.0861196617903637,3208.388,0.043377294074831464,0.13175829005193768,989.3729999999999
60,ridge_price_all_alpha_10,ridge,price,all,"{""alpha"": 10.0}",56,690027,690027,173109,1.157,0.12033994477921206,0.07958125056318623,0.8707155201363845,0.3346852798500043,0.6404384894574846,0.6497834492043918,0.4138429467745387,0.1,0.04338307078199285,0.8058588548601864,0.13180199733688416,989.833,3316,4194,1.0,0.029209330537407062,5056.397999999999,0.21515345822574217,0.08612560075177875,3207.7479999999996,0.04338307078199285,0.13180199733688416,989.833
60,ridge_delta_cross_alpha_1000,ridge,delta,kalshi_cross_coin,"{""alpha"": 1000.0}",43,690027,690027,173109,0.801,0.1280355699747875,0.0843153041328058,0.8536515742648156,0.3346852798500043,0.6174448722926532,0.5861347917001769,0.24799128922553756,0.05,0.04736899872334772,0.6458536585365854,0.07047195121951218,577.8699999999999,3667,4533,1.0,0.014340646644599645,2482.495,0.04736899872334772,0.07047195121951218,577.8699999999999,0.004973744865951511,0.14282926829268291,122.976
60,elastic_net_delta_all,elastic_net,delta,all,"{""alpha"": 0.0005, ""l1_ratio"": 0.15}",56,690027,300000,173109,8.757,0.12068837582153431,0.07967106895019324,0.8699657783931561,0.3346852798500043,0.6393974187462826,0.6479128316027142,0.4084591527612606,0.1,0.04027520232916833,0.8056511761331039,0.12914687320711415,900.4119999999999,3098,3874,1.0,0.029261222697837774,5065.380999999999,0.204466549977182,0.08648040683712387,3060.9739999999993,0.04027520232916833,0.12914687320711415,900.4119999999999
60,sgd_huber_delta_all,sgd_huber,delta,all,"{""alpha"": 0.0001, ""epsilon"": 0.01}",56,690027,400000,173109,12.644,0.12353902298612675,0.0789340340819323,0.8637504421700075,0.3346852798500043,0.630880022445286,0.6840324319816036,0.3767104002649846,0.1,0.011137491407148098,0.8309128630705395,0.13151970954356845,253.57,854,1074,1.0,0.028094189210266365,4863.357,0.09653455337388582,0.09548381305726768,1595.63,0.011137491407148098,0.13151970954356845,253.57
60,hist_gbr_delta_all,hist_gbr,delta,all,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 160, ""max_leaf_nodes"": 31}",56,690027,300000,173109,6.408,0.11165452969177614,0.07116228399448454,0.8887040220524216,0.3346852798500043,0.6663894816592583,0.6868026140987377,0.5323822903974019,0.1,0.102917814787215,0.8310507409070499,0.1565072968118545,2788.334,8148,9668,1.0,0.031326072012431476,5422.825,0.29430012304386255,0.09206913202214109,4690.554,0.102917814787215,0.1565072968118545,2788.334
60,hist_gbr_price_all,hist_gbr,price,all,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 160, ""max_leaf_nodes"": 31}",56,690027,300000,173109,5.665,0.11107469620754391,0.07039344950945539,0.8898569635630116,0.3346852798500043,0.6681219554761291,0.689125992648592,0.5388508465730677,0.1,0.11636598905891664,0.8245631453534551,0.1487673252581414,2996.7690000000002,9430,10714,1.0,0.03211731336903338,5559.795999999999,0.32038773258467207,0.08806952508023509,4884.511999999999,0.11636598905891664,0.1487673252581414,2996.7690000000002
60,extra_trees_delta_all,extra_trees,delta,all,"{""max_depth"": 12, ""min_samples_leaf"": 50, ""n_estimators"": 80}",56,690027,160000,173109,11.329,0.11633416850578254,0.07422458957409565,0.8791792973913712,0.3346852798500043,0.6524072748047958,0.6778307984677616,0.4802415386020478,0.1,0.060984697502729494,0.8356540683906413,0.1699463862839822,1794.124,4544,6013,1.0,0.029451778936970346,5098.3679999999995,0.27396033712862994,0.08796236162361623,4171.615,0.060984697502729494,0.1699463862839822,1794.124
60,random_forest_delta_all,random_forest,delta,all,"{""max_depth"": 12, ""min_samples_leaf"": 50, ""n_estimators"": 60}",56,690027,120000,173109,18.988,0.11242606593610381,0.07109037309957317,0.8871605905520611,0.3346852798500043,0.6640842226867888,0.7019522337199674,0.523236187187528,0.1,0.1026636396721141,0.8237114562232726,0.15405210443394105,2737.8140000000003,7563,10209,1.0,0.03130907116325552,5419.882,0.2978643513624364,0.09142456800418905,4714.125,0.1026636396721141,0.15405210443394105,2737.8140000000003
60,mlp_delta_all,mlp,delta,all,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [48, 24], ""learning_rate_init"": 0.001}",56,690027,160000,173109,34.425,0.12235292933293769,0.07638508520962857,0.866354136959198,0.3346852798500043,0.634423929884898,0.671658951858405,0.4283624008348217,0.1,0.15581512226400707,0.7472657843028213,0.1030629518407296,2779.9169999999995,13540,13433,1.0,0.025218613705815407,4365.5689999999995,0.3854103483932089,0.06358060793189244,4241.971,0.15581512226400707,0.1030629518407296,2779.9169999999995
